交易日期,品種代碼,魚貨名稱,市場名稱,上價,中價,下價,交易量,平均價,
1060525,3291,暑魚(凍),高雄,90,88.5,50,477,81.1,
1060525,3521,秋刀(凍),埔心,70,51,51,170,53.2,
1060525,3632,柳葉魚(凍),桃園,0,0,36,24,36,
1060525,3641,鱈魚(凍),苗栗,110,90,70,160,82.2,
1060525,3641,鱈魚(凍),桃園,300,280,0,69.1,285.5,
1060525,3999,其他凍結(凍),台北,0,65,0,10,65,
1060525,4015,白蝦,新營,180,180,180,28,180,
1060525,4015,白蝦,嘉義,163,163,163,10,163,
1060525,4016,蝦仁,彰化,450,107,50,70,107.1,
1060525,4071,劍蝦(海),新竹,330,135.3,25,31,152.2,
1060525,4522,市仔管,桃園,0,100,0,28,100,
1060525,5012,牡蠣養,嘉義,74,74,74,104,74,
1060525,5012,牡蠣養,彰化,180,102,65,442,101.6,
1060525,5022,文蛤養,台中,0,100,0,1180,100,
1060525,5022,文蛤養,埔心,90,66.6,38.3,202,59.3,
1060525,5022,文蛤養,新竹,20,18.6,12.8,885,18.6,
1060525,5888,海瓜子,斗南,116,115.1,115,24,115.3,
1060525,6011,紅魚(其他),新竹,100,0,0,144,100,
1060525,6011,紅魚(其他),嘉義,108,108,108,20,108,
1060525,6016,鮭,台中,250,250,233.3,1030,245.1,
1060525,6021,鹹魚,佳里,175,0,0,18,175,
1060525,6031,魚丸,斗南,69,68,68,60,68.2,
1060525,6049,其他加工,三重,39.9,15,15,439,20,
1060525,6050,熟卷,彰化,193,187,180,84,186.6,
1060525,9999,其他,三重,20.4,20.4,20.4,1500,20.4,
1060525,1011,吳郭魚,嘉義,50.3,46.9,25.4,3063.5,43.3,
1060525,1012,尼羅紅魚,台北,105.1,95,51.6,684.2,88.3,
1060525,1012,尼羅紅魚,新營,81,81,81,30,81,
1060525,1019,其他吳郭,台北,137.6,93.8,49,1449,93.6,
1060525,1022,鯽魚,台北,80,73.7,36.9,1484.4,67.6,
1060525,1023,草魚,三重,90,90,90,32.6,90,
1060525,1023,草魚,斗南,90,84,78.6,294.1,84.1,
1060525,1027,烏鰡,佳里,0,110,0,16.6,110,
1060525,1041,虱目魚,台北,118.2,107.9,96.4,2506.6,107.7,
1060525,1041,虱目魚,埔心,133.3,110.9,92.5,1288.7,114.1,
1060525,1042,虱目魚肚,嘉義,368,368,368,24,368,
1060525,1042,虱目魚肚,彰化,750,339,65,166,339,
1060525,1043,虱目魚頭,桃園,14,7,0,89,9,
1060525,1061,豆仔,台北,0,85,0,50,85,
1060525,1072,加州鱸,新竹,147,138.3,121,298,136.6,
1060525,1072,加州鱸,彰化,135,126,119,396,126.3,
1060525,1073,七星鱸,台中,156.7,133.1,100,138,134.7,
1060525,1073,七星鱸,苗栗,165,147.5,130,294,136.2,
1060525,1102,泥鰍,嘉義,181,177.5,176,48,177.9,
1060525,1141,田蛙,佳里,0,75,0,48,75,
1060525,1163,黑鯛(養殖),台中,230.3,167.1,129.7,391,188,
1060525,1163,黑鯛(養殖),新竹,189,179.2,161.8,52.3,177.6,
1060525,1164,紅鰽,台北,268.3,245.6,200,180,241,
1060525,1164,紅鰽,新竹,276.5,263.7,232.3,76.7,260,
1060525,1170,象魚,台中,0,112,0,28,112,
1060525,1171,青石斑,新竹,220,213.6,170.5,70.8,206.3,
1060525,1171,青石斑,新營,237.9,228.8,220,17.1,228.9,
1060525,1172,淡水珍珠石斑,新營,169.8,154.7,145.6,48,155.9,
1060525,1181,黃臘鰺(紅杉),三重,230,165,100,12,165,
1060525,1201,富貴魚,台中,149.7,131.8,98.5,168,135,
1060525,1201,富貴魚,佳里,150,138,0,30,140.4,
1060525,1999,其他養殖,三重,43,43,38.7,309.8,42.1,
1060525,1999,其他養殖,埔心,70,58.1,29.3,278,43.8,
1060525,2012,赤宗,台中,470.1,249.6,144.6,364,230.5,
1060525,2013,盤仔,埔心,69,69,29,31.7,64.3,
1060525,2015,黑鯛(沿海),嘉義,210,204.7,160.5,67.1,196.9,
1060525,2061,黃花(沿海),台北,0,170,0,8.4,170,
1060525,2061,黃花(沿海),苗栗,235,192.5,150,197,195.5,
1060525,2064,白口,斗南,118,106.3,93,57.5,106,
1060525,2067,鮸魚,新竹,145,137.6,135,59.3,138.6,
1060525,2071,四破,斗南,44,44,44,45,44,
1060525,2073,硬尾,台北,41.3,30.2,21.9,1359.2,30.8,
1060525,2075,紅尾,新竹,0,35,0,100,35,
1060525,2077,甘(瓜)仔,三重,370,327,300,167,330.2,
1060525,2077,甘(瓜)仔,桃園,0,115,0,41.8,115,
1060525,2078,青魽,岡山,77.5,70.2,70,107.4,71.6,
1060525,2079,紅魽,三重,219.2,200,200,128.2,203.8,
1060525,2079,紅魽,苗栗,210,170,130,135.5,157.7,
1060525,2082,紅古,斗南,95,95,95,60,95,
1060525,2092,黑鯧,台北,210,183.8,140,159.5,180.3,
1060525,2099,其他鯧類,新營,129,129,128.2,72,128.8,
1060525,2124,煙仔虎,埔心,41,19.7,9,79,21.6,
1060525,2143,白北,埔心,262,229.2,154,19.8,232.8,
1060525,2143,白北,嘉義,310.8,254,235.5,29.7,261.6,
1060525,2143,白北,彰化,276,249,210,19.6,249.2,
1060525,2151,大鯊,台北,59.9,45.1,33.9,1041.5,45.9,
1060525,2151,大鯊,岡山,100,89,29.9,57.9,79.4,
1060525,2157,水鯊,新竹,75,73.5,70,9.6,73.1,
1060525,2159,其他鯊魚,彰化,106,85,70,267.2,85.1,
1060525,2164,透抽,三重,235,188.6,150,37.9,190.2,
1060525,2164,透抽,埔心,262.9,234.7,171.9,436.5,228.1,
1060525,2165,軟舌,新竹,500,426.4,230,9.9,401.8,
1060525,2166,小卷,岡山,231.6,230,230,51.6,230.3,
1060525,2211,狗母,斗南,190,179.7,163,60.6,178.4,
1060525,2261,肉魚,台中,687.8,338.1,156.7,809,223.2,
1060525,2261,肉魚,台北,209.4,161.2,93.2,508,157.2,
1060525,2261,肉魚,彰化,387,143,10,605,143.2,
1060525,2331,鯖魚,台中,45.2,32.7,26,3224,30.9,
1060525,2331,鯖魚,台北,50.1,36.1,28,1196.3,37.3,
1060525,2331,鯖魚,台南,0,35,0,2100,35,
1060525,2331,鯖魚,桃園,46.9,38.7,27.9,930,38.3,
1060525,2331,鯖魚,彰化,54,30,25,1320,29.7,
1060525,2351,鱝(魴仔),新竹,49.3,19.7,10,112.8,23.6,
1060525,2391,咬狗,嘉義,274.1,192.9,154.3,21.8,201.4,
1060525,2411,龍舌,台北,400,307.1,250,1.4,314.3,
1060525,2421,白松,新竹,260,245.8,189.1,7.9,245.8,
1060525,2481,英哥,岡山,231.9,127.8,94.4,78,141.9,
1060525,2501,赤筆,嘉義,363,363,363,1,363,
1060525,2501,赤筆,彰化,0,201,0,10.2,201,
1060525,2532,九岩,桃園,0,140,0,8,140,
