從事項目,編號,許可機關,核准日期,核准文號,許可期間,研究作業人員數,進出漁港,目的事業主管機關,備註,核准船數,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,275,行政院農業委員會漁業署,102年3月19日,漁二字第1021207012號,102年3月19日~102年7月31日,3,高雄市白砂崙、高雄市上竹里、高雄市頂茄萣泊地、高雄市小港臨海新村、高雄市中洲、高雄市烏林投泊地、高雄市旗后、高雄市前鎮、高雄市興達、高雄市柴山泊地、高雄市永新、高雄市中芸、高雄市旗津、高雄市彌陀、高雄市鳳鼻頭、高雄市蚵子寮、高雄市西溪、高雄市汕尾、高雄市鼓山,國科會,國科會,1,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,276,行政院農業委員會漁業署,103年5月15日,漁二字第1031208360號,103年5月15日~103年12月31日,16,屏東縣山海、臺東縣南寮、高雄市旗津、彰化縣王功、雲林縣箔子寮、嘉義縣東石、臺南市安平、屏東縣鹽埔、屏東縣小琉球,臺南市政府環境保護局,臺南市政府環境保護局,2,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,277,行政院農業委員會漁業署,104年9月30日,漁二字第1041329359號,104年9月30日~105年3月2日,10,屏東縣鼻頭、屏東縣興海、新北市後厝、新北市磺港、新北市麟山鼻、新北市水尾、新北市富基、新北市草里、新北市老梅、新北市中角、新北市下罟子、新北市龜吼、屏東縣旭海、新北市淡水第一、新北市萬里、新北市野柳、新北市淡水第二、屏東縣南仁、新北市東澳、新北市六塊厝、屏東縣中山、屏東縣水利村、屏東縣東港鹽埔、新北市石門、屏東縣塭豐、屏東縣山海、屏東縣紅柴坑、屏東縣後壁湖、屏東縣潭仔、屏東縣枋寮、屏東縣楓港、屏東縣海口、屏東縣後灣、屏東縣香蕉灣,,,3,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,278,行政院農業委員會漁業署,102年3月22日,漁二字第1021206339,102年3月22日~102年12月31日,3,屏東縣東港鹽埔,行政院農業委員會水產試驗所,行政院農業委員會水產試驗所,1,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,279,行政院農業委員會漁業署,104年10月13日,漁二字第1041329499號,104年10月13日~104年12月31日,5,花蓮、花蓮縣石梯、花蓮縣鹽寮,國立臺灣海洋大學,國立臺灣海洋大學,1,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,280,行政院農業委員會漁業署,104年2月24日,漁二字第1041251654號,104年2月24日~104年4月30日,10,梧棲、王功、彰化縣崙尾灣,,,2,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,281,行政院農業委員會漁業署,105年3月18日,漁二字第1051204009號,105年3月22日~105年11月30日,5,雲林縣箔子寮,雲林縣環境保護局,雲林縣環境保護局,1,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,282,行政院農業委員會漁業署,102年9月5日,漁二字第1021271295,102年9月5日~102年11月30日,4,桃園縣永安,行政院國家科學委員會,行政院國家科學委員會,1,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,283,行政院農業委員會漁業署,102年5月30日,漁二字第1021214753號,102年5月30日~102年8月31日,5,雲林縣三條崙、臺中市梧棲,國科會,國科會,2,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,284,行政院農業委員會漁業署,103年1月23日,漁二字第1031250733號,103年1月23日~104年1月20日,4,高雄市小港臨海新村、高雄市旗津、高雄市前鎮、高雄市上竹里、高雄市中洲、高雄市旗后、高雄市高雄商港、高雄市大汕頭、高雄市鼓山,環保署,環保署,2,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,285,行政院農業委員會漁業署,102年6月14日,漁二字第1021216186號,102年6月14日~102年12月31日,18,臺東縣金樽、臺東縣新港,國科會,國科會,1,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,286,行政院農業委員會漁業署,103年2月27日,漁二字第1031203246號,103年3月1日~103年12月15日,11,臺南市馬沙溝、臺南市北堤、臺南市曾文溪、臺南市將軍、臺南市青山,經濟部水利署第六河川局,經濟部水利署第六河川局,3,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,287,行政院農業委員會漁業署,103年11月4日,漁二字第1031326854號,103年11月4日~103年11月30日,3,高雄市鼓山、高雄市旗后、高雄市中洲、高雄市小港臨海新村、高雄市中興泊地、高雄市柴山泊地、屏東縣後壁湖、屏東縣小琉球,科技部,科技部,1,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,288,行政院農業委員會漁業署,103年4月23日,漁二字第1031328978號,103年4月23日~103年12月31日,11,新北市淡水第二,臺北市政府水利工程處,臺北市政府水利工程處,2,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,289,行政院農業委員會漁業署,104年4月24日,漁二字第1041207772號,104年4月24日~106年4月23日,8,連江縣中柱、新北市澳底、新北市淡水第二、桃園縣永安、金門縣后豐泊地,行政院換境保護署,行政院換境保護署,3,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,290,行政院農業委員會漁業署,102年5月28日,漁二字第1021214378,102年5月28日~102年12月15日,10,苗栗縣外埔、苗栗縣通霄、苗栗縣苑裡、桃園縣竹圍、桃園縣永安、新竹市新竹、苗栗縣龍鳳,經濟部水利署第二河川局,經濟部水利署第二河川局,4,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,291,行政院農業委員會漁業署,103年7月15日,漁二字第1031325724號,103年7月15日~103年12月15日,15,高雄市旗津、臺東縣伽藍,經濟部水利署水利規劃試驗所,經濟部水利署水利規劃試驗所,1,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,292,宜蘭縣政府,105年5月18日,漁一1050004291,105年5月23日~105年6月30日,8,宜蘭縣梗枋、宜蘭縣大溪第二、宜蘭縣大溪第一、宜蘭縣烏石,宜蘭縣政府漁業管理所,宜蘭縣政府漁業管理所,2,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,293,行政院農業委員會漁業署,103年3月19日,漁二字第1031204686號,103年3月19日~103年12月31日,6,新北市深澳,,,1,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,294,行政院農業委員會漁業署,103年3月12日,漁二字第1031204067號,103年3月12日~103年12月15日,11,高雄市中芸、高雄市永新、高雄市彌陀、高雄市鳳鼻頭、高雄市旗后、高雄市興達、高雄市蚵子寮、高雄市旗津,,,1,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,295,行政院農業委員會漁業署,103年7月21日,漁二字第1031212264號,103年7月21日~103年12月31日,10,新北市澳底、新北市福隆,行政院農業委員會漁業署,行政院農業委員會漁業署,1,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,296,行政院農業委員會漁業署,104年2月9日,漁二字第1041251379號,104年2月9日~104年6月30日,31,屏東縣後壁湖、屏東縣後灣、屏東縣紅柴坑、屏東縣潭仔,科技部,科技部,3,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,297,行政院農業委員會漁業署,105年2月15日,漁二字第1051202059號,105年2月15日~105年12月31日,17,高雄市中洲、高雄市旗后、高雄市蚵子寮、高雄市旗津、高雄市鳳鼻頭、高雄市永新、高雄市中芸、高雄市上竹里、高雄市前鎮、高雄市鼓山、高雄市彌陀、高雄市興達、高雄市小港臨海新村,教育部,教育部,3,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,298,行政院農業委員會漁業署,104年5月27日,漁二字第1041210199號,104年6月1日~104年7月31日,3,高雄市小港臨海新村、高雄市中芸、高雄市永新、高雄市興達、高雄市彌陀、高雄市中洲、高雄市鼓山、高雄市蚵子寮、高雄市汕尾、高雄市上竹里、高雄市港埔、高雄市白砂崙、高雄市鳳鼻頭、高雄市旗津、高雄市旗后,,,1,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,299,行政院農業委員會漁業署,103年3月28日,漁二字第1031328547號,103年3月28日~103年12月31日,1,高雄市茄萣、高雄市旗津、高雄市前鎮、屏東縣東港鹽埔、臺南市將軍、高雄市蚵子寮、高雄市中芸、高雄市彌陀,行政院農業委員會漁業署,行政院農業委員會漁業署,1,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,300,行政院農業委員會漁業署,104年3月3日,漁二字第1041326529號,104年3月3日~104年12月31日,12,高雄市彌陀、高雄市蚵子寮、高雄市鳳鼻頭、高雄市中芸、高雄市興達、高雄市旗后、高雄市旗津、高雄市永新,教育部,教育部,2,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,301,行政院農業委員會漁業署,104年7月30日,漁二字第1041260231號,104年7月30日~105年12月31日,23,金門縣新湖漁港、金門縣復國墩漁港、金門縣復國墩,交通部民用航空局,交通部民用航空局,1,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,302,行政院農業委員會漁業署,105年4月20日,漁二字第1051205553號,105年4月20日~106年12月31日,7,雲林縣三條崙、雲林縣箔子寮、新竹市新竹、雲林縣五條港、雲林縣台西,,,1,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,303,行政院農業委員會漁業署,105年3月11日,漁二字第1051203392號,105年3月11日~106年12月31日,6,苗栗縣通霄,台灣電力股份有限公司,台灣電力股份有限公司,1,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,304,行政院農業委員會漁業署,103年3月19日,漁二字第1031328496號,103年3月19日~103年12月1日,11,嘉義縣鰲鼓、嘉義縣網寮、嘉義縣白水湖、嘉義縣布袋、嘉義縣東石,經濟部水利署水利規劃試驗所,經濟部水利署水利規劃試驗所,4,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,305,行政院農業委員會漁業署,104年4月16日,漁二字第1041254314號,104年4月16日~104年11月30日,19,屏東縣香蕉灣、屏東縣水利村、屏東縣塭豐、屏東縣鼻頭、屏東縣紅柴坑、屏東縣楓港、屏東縣潭仔、屏東縣海口、屏東縣後壁湖、屏東縣東港鹽埔、屏東縣枋寮、屏東縣後灣,屏東縣政府,屏東縣政府,1,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,306,行政院農業委員會漁業署,102年4月19日,漁二字第1021210226號,102年4月22日~102年10月31日,6,雲林縣三條崙、臺中市梧棲,交通部運輸研究所,交通部運輸研究所,2,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,307,行政院農業委員會漁業署,104年8月6日,漁二字第1041328841號,104年8月6日~104年12月31日,8,金門縣新湖漁港、金門縣羅厝漁港,金門縣政府,金門縣政府,1,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,308,行政院農業委員會漁業署,104年10月19日,漁二字第1041329551號,104年10月19日~104年12月31日,4,花蓮縣花蓮、臺東縣伽藍,經濟部技術處,經濟部技術處,1,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,309,行政院農業委員會漁業署,104年6月2日,漁二字第1041257194號,104年6月2日~104年12月10日,1,新竹漁港,新竹縣環保局,新竹縣環保局,1,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,310,行政院農業委員會漁業署,102年7月29日,漁二字第1021221056,102年7月29日~102年9月15日,11,連江縣津沙、連江縣白沙、連江縣后沃、連江縣福澳、連江縣山隴,經濟部水利署第一河川局,經濟部水利署第一河川局,3,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,311,行政院農業委員會漁業署,103年4月23日,漁二字第1031328982號,103年4月23日~103年12月15日,11,頂庄漁港、芳苑漁港、福寶漁港、西港漁港、崑崙台漁港、三豊漁港、王功漁港、崙尾灣漁港、塭仔漁港、防潮門漁港,,,4,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,312,行政院農業委員會漁業署,103年8月8日,漁二字第1031213429號,103年8月11日~105年4月5日,9,新北市澳底、新北市福隆,美商傑明工程顧問(股)台灣分公司,美商傑明工程顧問(股)台灣分公司,1,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,313,行政院農業委員會漁業署,104年8月3日,漁二字第1041328791號,104年8月3日~104年12月31日,16,苗栗縣龍鳳,,,4,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,314,行政院農業委員會漁業署,103年4月14日,漁二字第1031328858號,103年4月14日~103年12月15日,12,花蓮縣花蓮,第九河川局,第九河川局,2,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,315,行政院農業委員會漁業署,103年4月25日,漁二字第1031328834號,103年4月25日~103年12月31日,4,花蓮縣北埔、宜蘭縣南澳、屏東縣竹坑、臺東縣基翬、花蓮縣康樂、宜蘭縣南方澳、臺東縣三和、宜蘭縣石城、臺東縣長濱、苗栗縣龍鳳、花蓮縣崇德、花蓮縣七星潭、宜蘭縣白來分、臺東縣小港、新竹縣海山、宜蘭縣粉鳥林、花蓮縣板下,,,23,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,316,行政院農業委員會漁業署,104年8月18日,漁二字第1041328933號,104年8月18日~105年7月31日,8,苗栗縣通霄、苗栗縣白沙屯、苗栗縣苑港、苗栗縣龍鳳、苗栗縣公司寮、桃園縣永安、新竹市新竹、苗栗縣青草、苗栗縣福寧、苗栗縣新埔、苗栗縣塭仔頭、新竹市海山、苗栗縣外埔、苗栗縣外埔,國科會,國科會,2,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,317,行政院農業委員會漁業署,104年6月15日,漁二字第1041212588號,104年6月15日~105年12月31日,2,南寮漁港,環保局,環保局,1,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,318,行政院農業委員會漁業署,104年3月23日,漁二字第1041205180號,104年3月23日~104年12月15日,15,花蓮縣花蓮,經濟部水利署第九河川局,經濟部水利署第九河川局,2,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,319,行政院農業委員會漁業署,104年8月5日,漁二字第1041260608號,104年8月5日~104年12月31日,5,宜蘭縣烏石,國立臺灣大學,國立臺灣大學,1,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,320,行政院農業委員會漁業署,102年6月18日,漁二字第1021216875,102年6月18日~102年12月31日,4,宜蘭縣南澳,漁業署,漁業署,1,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,321,行政院農業委員會漁業署,103年10月28日,漁二字第1031218415號,103年10月28日~104年1月13日,16,新湖漁港,金門縣水產試驗所,金門縣水產試驗所,2,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,322,行政院農業委員會漁業署,104年5月18日,漁二字第1041209258號,104年5月18日~104年12月31日,13,雲林縣三條崙、嘉義縣下庄、雲林縣箔子寮、嘉義縣東石、嘉義縣副瀨、雲林縣金湖、雲林縣台子村、嘉義縣塭港、彰化縣崙尾灣、嘉義縣布袋、彰化縣王功、嘉義縣好美里、嘉義縣網寮、雲林縣五條港、嘉義縣白水湖、雲林縣台西、嘉義縣鰲鼓,內政部國土測繪中心,內政部國土測繪中心,2,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,323,行政院農業委員會漁業署,104年8月10日,漁二字第1041216628號,104年8月10日~104年12月31日,8,新竹縣坡頭,交通部公路總局西部濱海公路北區臨時工程處,交通部公路總局西部濱海公路北區臨時工程處,2,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,324,行政院農業委員會漁業署,105年5月27日,漁二字第1051327041號,105年5月27日~106年12月31日,9,新北市磺港、新北市水尾、新北市野柳、基隆市八斗子、新北市草里、新北市石門,,,2,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,325,行政院農業委員會漁業署,102年4月15日,漁二字第1021209113號,102年4月15日~102年7月31日,10,屏東縣楓港,國科會,國科會,2,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,326,行政院農業委員會漁業署,103年4月8日,漁二字第1031328746號,103年4月8日~103年12月31日,5,金門縣羅厝漁港、連江縣福澳,澎湖縣政府環境保護局,澎湖縣政府環境保護局,2,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,327,行政院農業委員會漁業署,104年5月22日,漁二字第1041210625號,104年5月22日~104年6月30日,17,宜蘭縣烏石,行政院農業委員會漁業署,行政院農業委員會漁業署,2,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,328,行政院農業委員會漁業署,104年5月1日,漁二字第1041255439號,104年5月1日~104年6月30日,19,金門縣后豐泊地、金門縣新湖漁港、金門縣復國墩漁港,金門縣烈嶼鄉公所,金門縣烈嶼鄉公所,1,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,329,連江縣政府,103年2月6日,連建漁字第1030001714號,103年1月1日~103年3月31日,7,連江縣福澳、連江縣橋仔,國立臺灣海洋大學,國立臺灣海洋大學,2,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,330,行政院農業委員會漁業署,102年6月26日,漁二字第1021216344號,102年6月26日~102年8月31日,7,新北市深澳,國科會,國科會,1,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,331,行政院農業委員會漁業署,104年11月11日,漁二字第1041266109號,104年11月11日~104年11月30日,10,嘉義縣布袋,交通部運輸研究所,交通部運輸研究所,1,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,332,行政院農業委員會漁業署,103年1月28日,漁二字第1031201163號,103年1月28日~104年3月31日,10,金門縣后豐泊地、連江縣中柱、新北市澳底、新北市淡水第二、桃園縣永安、連江縣中柱,行政院環境保護署,行政院環境保護署,4,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,333,行政院農業委員會漁業署,105年3月15日,漁二字第1051203928號,105年3月15日~106年9月30日,14,宜蘭縣粉鳥林、宜蘭縣南澳、花蓮縣花蓮、花蓮縣石梯、花蓮縣鹽寮、宜蘭縣南方澳,,,4,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,334,行政院農業委員會漁業署,102年7月11日,漁二字第1021219207,102年7月11日~102年12月15日,10,桃園縣永安、桃園縣竹圍,經濟部水利署第二河川局,經濟部水利署第二河川局,2,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,335,行政院農業委員會漁業署,104年9月15日,漁二字第1041329258號,104年9月15日~105年7月31日,28,桃園縣永安、新竹市新竹、桃園縣竹圍,,,3,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,336,行政院農業委員會漁業署,102年4月9日,漁二字第1021208971號,102年4月15日~102年12月31日,6,屏東縣海口,經濟部水利署第七河川局,經濟部水利署第七河川局,2,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,337,高雄市政府,102年3月27日,漁二字第1021208087,102年3月27日~102年12月31日,29,屏東縣後壁湖、屏東縣潭仔,國科會,國科會,2,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,338,行政院農業委員會漁業署,103年2月21日,漁二字第1031327980號,103年2月21日~104年6月30日,8,新北市福隆、新北市澳底,台灣電力股份有限公司,台灣電力股份有限公司,2,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,339,行政院農業委員會漁業署,104年3月3日,漁二字第1041203693號,104年3月6日~104年12月20日,13,屏東縣枋寮、屏東縣東港鹽埔、高雄市興達、高雄市永新、高雄市彌陀、高雄市鼓山、高雄市旗后、高雄市旗津、高雄市上竹里、高雄市中洲、高雄市前鎮,水利署第七河川局,水利署第七河川局,2,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,340,行政院農業委員會漁業署,103年2月14日,漁二字第1031327853號,103年2月14日~103年12月31日,41,屏東縣後壁湖、屏東縣潭仔、屏東縣後灣、屏東縣紅柴坑、宜蘭縣烏石,國科會,國科會,5,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,341,行政院農業委員會漁業署,104年3月26日,漁二字第1041205519號,104年4月1日~104年12月31日,8,新北市深澳,漁業署,漁業署,1,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,342,行政院農業委員會漁業署,102年4月3日,漁二字第1021208326,102年4月3日~102年10月15日,2,新北市淡水第二,臺北市政府工務局水利工程處,臺北市政府工務局水利工程處,2,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,343,行政院農業委員會漁業署,103年7月3日,漁二字第1031325628號,103年7月3日~104年6月30日,10,安平漁港,臺南市漁港及近海管理所,臺南市漁港及近海管理所,1,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,344,行政院農業委員會漁業署,104年7月24日,漁二字第1041328722號,104年7月24日~104年10月31日,6,連江縣中柱、連江縣猛澳、連江縣白沙、連江縣福澳、連江縣青蕃,交通部運輸研究所港灣研究中心,交通部運輸研究所港灣研究中心,1,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,345,行政院農業委員會漁業署,102年5月17日,漁二字第1021321976,102年5月17日~102年12月31日,8,嘉義縣布袋、嘉義縣好美里,經濟部水利署第五河川局,經濟部水利署第五河川局,1,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,346,行政院農業委員會漁業署,105年5月18日,漁二字第1051256952號,105年5月18日~105年12月31日,13,金門縣羅厝、高雄市前鎮、高雄市鼓山、高雄市旗津、高雄市中洲、金門縣復國墩、金門縣新湖,金門縣環保局,金門縣環保局,2,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,347,行政院農業委員會漁業署,104年2月24日,漁二字第1041203327號,104年2月24日~104年12月31日,16,新北市淡水第二、基隆市長潭里、宜蘭縣南方澳、臺中市梧棲、高雄市前鎮,交通部運輸研究所港灣研究中心,交通部運輸研究所港灣研究中心,5,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,348,行政院農業委員會漁業署,104年6月25日,漁二字第1041213536號,104年6月25日~104年12月31日,15,宜蘭縣烏石,國立中山大學,國立中山大學,2,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,349,行政院農業委員會漁業署,105年3月21日,漁二字第1051204436號,105年3月21日~105年12月31日,19,新北市淡水第二、臺中市梧棲、基隆市長潭里、宜蘭縣南方澳、高雄市前鎮、花蓮縣花蓮,,,7,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,350,行政院農業委員會漁業署,104年4月17日,漁二字第1041207111號,104年4月17日~105年2月25日,16,澎湖縣赤崁、澎湖縣虎井、澎湖縣龍門、澎湖縣潭門、澎湖縣石泉、澎湖縣紅羅、澎湖縣七美、澎湖縣內垵北、澎湖縣馬公、澎湖縣東吉、澎湖縣鎖港、澎湖縣桶盤、澎湖縣赤馬、澎湖縣將軍南、澎湖縣五德、澎湖縣安宅、澎湖縣大池、澎湖縣蒔裡、澎湖縣尖山、澎湖縣案山、澎湖縣吉貝、澎湖縣鐵線、澎湖縣橫礁、澎湖縣中社、澎湖縣前寮、澎湖縣西溪、澎湖縣青螺、澎湖縣成功、澎湖縣風櫃東、澎湖縣城前、澎湖縣井垵、澎湖縣二崁、澎湖縣港子、澎湖縣潭子、澎湖縣中西、澎湖縣?葉、澎湖縣山水、澎湖縣西衛、澎湖縣竹灣、澎湖縣小門、澎湖縣員貝、澎湖縣通樑、澎湖縣瓦硐、澎湖縣大倉、澎湖縣水垵、澎湖縣合界、澎湖縣風櫃西、澎湖縣岐頭、澎湖縣沙港西、澎湖縣沙港中、澎湖縣外垵、澎湖縣後寮、澎湖縣鳥嶼、澎湖縣花嶼、澎湖縣東嶼坪、澎湖縣沙港東、澎湖縣南北寮、澎湖縣重光、澎湖縣白坑、澎湖縣菜園、澎湖縣鎮海、澎湖縣講美、澎湖縣池西、澎湖縣大?葉、澎湖縣內垵南、澎湖縣將軍北、澎湖縣烏崁,內政部國土測繪中心,內政部國土測繪中心,3,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,351,行政院農業委員會漁業署,105年3月30日,漁二字第1051204878號,105年3月30日~105年12月31日,14,金門縣新湖,,,1,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,352,行政院農業委員會漁業署,103年8月5日,漁二字第1031259616號,103年8月5日~104年7月31日,3,花蓮縣石梯、臺東縣新港,行政院科技部,行政院科技部,1,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,353,行政院農業委員會漁業署,105年4月19日,漁二字第1051205812號,105年4月19日~105年12月31日,7,嘉義縣布袋,,,1,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,354,行政院農業委員會漁業署,102年4月23日,漁二字第1021210555號,102年5月1日~102年12月30日,18,花蓮縣花蓮、宜蘭縣烏石、新竹市新竹、屏東縣小琉球,交通部中央氣象局,交通部中央氣象局,4,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,355,行政院農業委員會漁業署,102年3月12日,漁二字第1021206198,102年3月12日~102年12月31日,10,高雄市旗津、高雄市興達、高雄市蚵子寮、高雄市永新、高雄市中芸、高雄市鳳鼻頭,高雄市政府海洋局,高雄市政府海洋局,1,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,356,行政院農業委員會漁業署,105年4月27日,漁二字第1051255687號,105年4月27日~105年9月30日,9,高雄市旗津、屏東縣後壁湖,墾丁國家公園管理處,墾丁國家公園管理處,1,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,357,行政院農業委員會漁業署,104年8月1日,漁二字第1041260336號,104年8月1日~105年7月31日,28,屏東縣後壁湖、屏東縣潭仔,科技部,科技部,3,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,358,行政院農業委員會漁業署,104年3月23日,漁二字第1041205179號,104年3月23日~104年12月31日,12,高雄市永新,行政院環境保護署,行政院環境保護署,1,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,359,行政院農業委員會漁業署,104年1月16日,漁二字第1041250368號,104年1月16日~104年12月31日,7,屏東縣小琉球、高雄市柴山泊地、屏東縣楓港、屏東縣後壁湖、屏東縣琉球新、高雄市旗津、高雄市鼓山、高雄市旗后、高雄市柴山泊地,財團法人國家實驗研究院台灣海洋科技研究中心,財團法人國家實驗研究院台灣海洋科技研究中心,1,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,360,行政院農業委員會漁業署,104年3月17日,漁二字第1041204777號,104年3月16日~104年12月31日,5,新北市水湳洞、新北市澳底、新北市磺港,新北市政府環境保護局,新北市政府環境保護局,3,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,361,行政院農業委員會漁業署,104年6月23日,漁二字第1041213244號,104年6月23日~104年12月31日,13,金門縣新湖漁港,行政院環境保護署,行政院環境保護署,1,
水產資源、海洋生態、海洋生物、海洋環境、海洋氣象等相關之調查研究,362,行政院農業委員會漁業署,103年7月3日,漁二字第1031325597號,103年7月3日~103年7月31日,3,花蓮縣石梯、臺東縣新港,行政院科技部,行政院科技部,1,
